id,fname,lname,start_learning
917,Serene,Wandrich,2009
918,Ros,Toulch,1995
919,Ophelia,Carrol,1997
920,Kalila,Gobeaux,1990
921,Grazia,Auguste,1989
922,Lucas,Dabbes,2006
923,Wheeler,Lanaway,2002
924,Gabriel,Petrushka,2005
925,Janot,Rabat,2006
926,Moise,Barabich,2005
927,Hesther,Server,2012
928,Jeromy,Chittem,2012
929,Dore,Kingett,2006
930,Kaja,Rumney,2012
931,Zach,Whiles,2001
932,Giustino,Gainsborough,1992
933,Jewelle,Sinnat,2003
934,Lisle,Bumpus,2011
935,Corrina,Anning,2007
936,Elyn,Hackford,1993
937,Nikkie,Lunk,1998
938,Oberon,Como,2000
939,Daffi,Bjerkan,2002
940,Ernie,Jedrasik,2004
941,Krista,Grattan,2010
942,Bowie,Congreve,1995
943,Rosalie,Bleackly,1996
944,Dianemarie,Oblein,2001
945,Fairfax,Dickings,1996
946,Tallou,Ciric,1998
947,Shelley,Sullly,2010
948,Dulcie,Mazzeo,2004
949,Mair,Mesias,2001
950,Siouxie,Dominicacci,1993
951,Haskel,Hens,1998
952,Hallsy,Barley,2011
953,Magdaia,Amsberger,2000
954,Garret,Petracco,1992
955,Zarah,McAirt,2011
956,Ronna,Scothorne,1986
957,Valentine,Tewkesberry,2012
958,Arron,Simmins,1986
959,Ulrick,Teall,1999
960,Aggie,Kennefick,2012
961,Sydney,von Grollmann,2007
962,Leodora,Wadge,1999
963,Arman,Aluard,1988
964,Etty,Bielefeld,1992
965,Sergio,Hallor,2002
966,Fedora,Valentinetti,2005
967,Erena,Dessent,2012
968,Bernadine,Cossell,2009
969,Jamaal,Simpole,1986
970,Joete,Glander,2009
971,Bobbe,Dorricott,2000
972,Fraser,Singh,1999
973,Avery,Odger,1997
974,Estell,Grundon,1987
975,Monte,Herreros,1996
976,Gertrude,Lathe,2003
977,Augy,Sinderland,2006
978,Delano,Allsopp,2008
979,Blondy,Marousek,2007
980,Anabal,Pasby,1997
981,Casar,Torald,1985
982,Suzi,Warcop,1999
983,Andrew,Goodridge,1993
984,Vale,Moorcraft,2002
985,Tonia,Ibeson,1993
986,Bjorn,Greiser,1996
987,Ly,Jekyll,1993
988,Philly,Willbourne,1997
989,Murial,Fredi,2009
990,Cully,Hiers,1998
991,Peter,Mohring,2008
992,Renell,Maclean,1995
993,Janela,Tripett,1996
994,Edik,Lunge,1967
995,Cinnamon,Sowman,1999
996,Beilul,Senten,2004
997,Bonny,Woolland,1959
998,Gerianna,Devennie,1987
999,Danni,Cudde,2000
1000,Morgana,Pieroni,2008
